owner,repo,status,message
Snailclimb,JavaGuide,ok,
GrowingGit,GitHub-Chinese-Top-Charts,ok,
macrozheng,mall,ok,
doocs,advanced-java,ok,
krahets,hello-algo,ok,
iluwatar,java-design-patterns,ok,
spring-projects,spring-boot,ok,
TheAlgorithms,Java,ok,
kdn251,interviews,ok,
NationalSecurityAgency,ghidra,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/NationalSecurityAgency__ghidra', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/NationalSecurityAgency__ghidra']' returned non-zero exit status 1."
MisterBooo,LeetCodeAnimation,ok,
termux,termux-app,ok,
elastic,elasticsearch,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/elastic__elasticsearch', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/elastic__elasticsearch']' returned non-zero exit status 1."
dbeaver,dbeaver,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/dbeaver__dbeaver', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/dbeaver__dbeaver']' returned non-zero exit status 1."
google,guava,ok,
skylot,jadx,ok,
jeecgboot,JeecgBoot,ok,
spring-projects,spring-framework,ok,
PhilJay,MPAndroidChart,ok,
halo-dev,halo,ok,
ReactiveX,RxJava,ok,
TeamNewPipe,NewPipe,ok,
apache,dubbo,ok,
alibaba,arthas,ok,
geekxh,hello-algorithm,ok,
airbnb,lottie-android,ok,
ashishps1,awesome-system-design-resources,ok,
doocs,leetcode,ok,
YunaiV,ruoyi-vue-pro,ok,
bumptech,glide,ok,
xkcoding,spring-boot-demo,ok,
SeleniumHQ,selenium,ok,
alibaba,easyexcel,ok,
zxing,zxing,ok,
netty,netty,ok,
eugenp,tutorials,ok,
Blankj,AndroidUtilCode,ok,
binarywang,WxJava,ok,
alibaba,nacos,ok,
ityouknow,spring-boot-examples,ok,
conductor-oss,conductor,ok,
xuxueli,xxl-job,ok,
apolloconfig,apollo,ok,
keycloak,keycloak,ok,
chinabugotech,hutool,ok,
alibaba,spring-cloud-alibaba,ok,
alibaba,canal,ok,
wuyouzhuguli,SpringAll,ok,
apache,kafka,ok,
yuliskov,SmartTube,ok,
lenve,vhr,ok,
