measurement_id,pair_id,timestamp,api_type,scenario_id,scenario_name,repository,owner,repo,run_number,order_index,http_status,success,elapsed_ms,response_bytes,request_count,attempts,token_label,error
public-apis/public-apis:C1:run001:GraphQL,public-apis/public-apis:C1:run001,2026-06-18T00:54:24.824632Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,1,1,200,1,465.111,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run001:REST,public-apis/public-apis:C1:run001,2026-06-18T00:54:25.338893Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,1,2,200,1,513.208,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run001:REST,public-apis/public-apis:C2:run001,2026-06-18T00:54:26.188111Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,1,1,200,1,845.754,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run001:GraphQL,public-apis/public-apis:C2:run001,2026-06-18T00:54:27.080484Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,1,2,200,1,891.282,2504,1,1,GITHUB_GRAPHQL_TOKEN,
EbookFoundation/free-programming-books:C1:run001:GraphQL,EbookFoundation/free-programming-books:C1:run001,2026-06-18T00:54:27.456178Z,GraphQL,C1,repository_metadata,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,1,1,200,1,374.299,489,1,1,GITHUB_GRAPHQL_TOKEN,
EbookFoundation/free-programming-books:C1:run001:REST,EbookFoundation/free-programming-books:C1:run001,2026-06-18T00:54:27.898111Z,REST,C1,repository_metadata,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,1,2,200,1,440.935,7526,1,1,GITHUB_REST_TOKEN,
EbookFoundation/free-programming-books:C2:run001:GraphQL,EbookFoundation/free-programming-books:C2:run001,2026-06-18T00:54:28.511872Z,GraphQL,C2,recent_pull_requests,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,1,1,200,1,612.678,2685,1,1,GITHUB_GRAPHQL_TOKEN,
EbookFoundation/free-programming-books:C2:run001:REST,EbookFoundation/free-programming-books:C2:run001,2026-06-18T00:54:29.474022Z,REST,C2,recent_pull_requests,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,1,2,200,1,958.489,188159,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run002:REST,public-apis/public-apis:C1:run002,2026-06-18T00:54:42.438782Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,2,1,200,1,446.179,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run002:GraphQL,public-apis/public-apis:C1:run002,2026-06-18T00:54:43.156478Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,2,2,200,1,716.499,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run003:REST,public-apis/public-apis:C1:run003,2026-06-18T00:54:43.571619Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,3,1,200,1,413.876,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run003:GraphQL,public-apis/public-apis:C1:run003,2026-06-18T00:54:43.983397Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,3,2,200,1,410.762,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run004:GraphQL,public-apis/public-apis:C1:run004,2026-06-18T00:54:44.359301Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,4,1,200,1,375.181,447,1,1,GITHUB_GRAPHQL_TOKEN,
